TaxonGrp,Species,Base-substitution Mutation rate,Total Genome size Mb,Protein-coding Genome Size Mb,Organism Mass at Maturity(ug DW),Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Populus trichocarpa,0.00000000199000,392.32000,73.24925,,682075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Pristionchus pacificus,0.00000000200000,169.70000,33.74141,1.1492,1774848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Procavia capensis,0.00000000919544,3705.82000,,840000000.00,37509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Prochlorococcus marinus AS9601,0.00000000035000,1.66989,1.49857,0.000000155,26926716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Prunus persica,0.00000000816000,227.57000,47.95947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Pseudomonas aeruginosa PA14,0.00000000007920,7.23191,6.39338,0.000000243,182550306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Pseudomonas fluorescens SBW25,0.00000000009300,6.72240,5.35866,0.000000221,2691278078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Pungitius pungitius,0.00000000436000,466.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Pygoscelis adeliae,0.00000001503760,1216.62000,24.44020,1200000000.00,83259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Quercus robur,0.00000004700000,789.35000,84.72991,,45709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Rangifer tarandus,0.00000000589048,2584.92000,,56100000000.00,98558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Rhea pennata,0.00000003978900,1168.29000,,6000000000.00,16422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Rhodobacter sphaeroides ATCC 17025,0.00000000011700,4.71114,4.10211,,524142960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Rhodotorula toruloides ATCC10788,0.00000000019000,20.22390,13.01164,0.000024648,408986452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Rousettus aegyptiacus,0.00000000810563,1893.60000,34.10009,37500000.00,92628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
