year,transect_id,site_id,lat,lon,facies,reef_name,plhcoral,family,scientific_name,length_cm,av.weight.g,animal_count
2019,1238,69178,-22.20555,113.83667,Reef slope,Osprey,40,Acanthuridae,Acanthurus grammoptilus,40,561.4550968,4
2015,1946,69735,-21.869671,113.972379,Reef slope,Jurabi,10,Acanthuridae,Acanthurus dussumieri,25,28.20314032,17
2015,1465,69417,-22.009255,113.90068,Reef slope,Mangrove,20,Acanthuridae,Acanthurus dussumieri,25,106.0654234,7
2017,1493,69436,-21.861601,113.977145,Reef slope,Jurabi,30,Acanthuridae,Acanthurus nigricans,10,28.15612834,2
2018,1507,69448,-21.857799,113.980959,Reef slope,Jurabi,20,Acanthuridae,Acanthurus nigricans,15,42.81931855,3
2018,1507,69448,-21.857799,113.980959,Reef slope,Jurabi,20,Acanthuridae,Acanthurus nigricans,30,627.2060143,1
2017,1988,69756,-22.210351,113.835806,Reef slope,Osprey,40,Acanthuridae,Acanthurus nigricans,25,19.45597761,22
2015,1477,69425,-21.964397,113.912597,Reef slope,Mangrove,20,Acanthuridae,Acanthurus nigricans,25,185.9027792,3
2015,1242,69180,-22.20064,113.83848,Reef slope,Osprey,20,Acanthuridae,Acanthurus nigricans,20,187.0548017,1
2018,1970,69747,-21.927059,113.921493,Reef slope,Mangrove,15,Acanthuridae,Acanthurus nigricans,25,383.4312396,2
2018,1970,69747,-21.927059,113.921493,Reef slope,Mangrove,15,Acanthuridae,Acanthurus nigricans,20,195.3227129,0
2016,1481,69427,-21.952949,113.914424,Reef slope,Mangrove,25,Acanthuridae,Acanthurus dussumieri,30,201.3092202,1
2016,1978,69751,-22.241802,113.829291,Bommie,Osprey,10,Acanthuridae,Acanthurus dussumieri,20,228.2180512,2
2017,1467,69418,-22.006228,113.901669,Reef slope,Mangrove,20,Acanthuridae,Acanthurus dussumieri,45,69.46138922,37
2017,577,46805,-22.23949,113.82363,Reef slope,Osprey,40,Acanthuridae,Acanthurus dussumieri,40,167.4785695,8
2019,1986,69755,-22.228337,113.826968,Reef slope,Osprey,35,Acanthuridae,Acanthurus dussumieri,20,45.90000035,3
2016,1742,69586,-21.98863,113.91988,Bommie,Mangrove,15,Acanthuridae,Acanthurus dussumieri,40,1642.909313,3
2016,1742,69586,-21.98863,113.91988,Bommie,Mangrove,15,Acanthuridae,Acanthurus dussumieri,35,1203.31282,1
2016,571,46748,-22.22391,113.83043,Reef slope,Osprey,35,Acanthuridae,Acanthurus dussumieri,35,106.2642776,9
2015,1944,69734,-21.85495,113.984551,Reef slope,Jurabi,10,Acanthuridae,Acanthurus dussumieri,25,15.58514637,32
2019,1240,69179,-22.22241,113.83108,Reef slope,Osprey,50,Acanthuridae,Acanthurus dussumieri,30,234.5262699,2
2018,1479,69426,-21.958761,113.913098,Reef slope,Mangrove,35,Acanthuridae,Acanthurus dussumieri,30,812.4434932,1
2015,1958,69741,-21.844962,114.036099,Inshore,Jurabi,0,Acanthuridae,Acanthurus dussumieri,15,52.10015543,-0
2019,1968,69746,-21.925939,113.949848,Bommie,Mangrove,15,Acanthuridae,Acanthurus dussumieri,30,692.734924,2
2017,1940,69732,-21.851654,113.996863,Reef slope,Jurabi,5,Acanthuridae,Acanthurus dussumieri,20,10.0174536,25
2019,1924,69723,-21.952067,113.939473,Bommie,Mangrove,10,Acanthuridae,Acanthurus dussumieri,30,170.7847463,4
2016,920,66166,-22.221117,113.831717,Reef slope,Osprey,45,Acanthuridae,Acanthurus dussumieri,35,204.06545,4
2016,1746,69589,-21.987901,113.922764,Bommie,Mangrove,5,Acanthuridae,Acanthurus dussumieri,30,776.1356828,4
2018,1507,69448,-21.857799,113.980959,Reef slope,Jurabi,20,Acanthuridae,Acanthurus dussumieri,30,705.3824171,3
2016,1471,69420,-21.996843,113.906339,Reef slope,Mangrove,35,Acanthuridae,Acanthurus dussumieri,15,105.5000913,1
2016,1924,69723,-21.952067,113.939473,Bommie,Mangrove,25,Acanthuridae,Acanthurus dussumieri,35,597.3474554,2
2019,1984,69754,-22.254868,113.818245,Reef slope,Osprey,60,Acanthuridae,Acanthurus dussumieri,35,280.3351863,4
